date,time,lon,lat
2015-09-10,7:01:57,15.764707,-22.379595
2015-09-10,7:01:58,15.764707,-22.379593
2015-09-10,7:01:59,15.764707,-22.379592
2015-09-10,7:02:00,15.764708,-22.379592
2015-09-10,7:02:01,15.76471,-22.379588
2015-09-10,7:02:02,15.764715,-22.379585
2015-09-10,7:02:03,15.764718,-22.379582
2015-09-10,7:02:04,15.764722,-22.37958
2015-09-10,7:02:05,15.764722,-22.37958
2015-09-10,7:02:06,15.764722,-22.37958
2015-09-10,7:02:07,15.764722,-22.379582
2015-09-10,7:02:08,15.764723,-22.379582
2015-09-10,7:02:09,15.764723,-22.379582
2015-09-10,7:02:10,15.764723,-22.379582
2015-09-10,7:02:11,15.764723,-22.379582
2015-09-10,7:02:12,15.764723,-22.379582
2015-09-10,7:02:13,15.764725,-22.37958
2015-09-10,7:02:14,15.76473,-22.379582
2015-09-10,7:02:15,15.764733,-22.37958
2015-09-10,7:02:16,15.764733,-22.379582
2015-09-10,7:02:17,15.76473,-22.379582
2015-09-10,7:02:18,15.764728,-22.379582
2015-09-10,7:02:19,15.764728,-22.379583
2015-09-10,7:02:20,15.764728,-22.379583
2015-09-10,7:02:21,15.764728,-22.379583
2015-09-10,7:02:22,15.764728,-22.379582
2015-09-10,7:02:23,15.764727,-22.379583
2015-09-10,7:02:24,15.764727,-22.379582
2015-09-10,7:02:25,15.764727,-22.37958
2015-09-10,7:02:26,15.764725,-22.379578
2015-09-10,7:02:27,15.764723,-22.379578
2015-09-10,7:02:28,15.76472,-22.37958
2015-09-10,7:02:29,15.764718,-22.37958
2015-09-10,7:02:30,15.764718,-22.379582
2015-09-10,7:02:31,15.764718,-22.379582
2015-09-10,7:02:32,15.76472,-22.379582
2015-09-10,7:02:33,15.76472,-22.379583
2015-09-10,7:02:34,15.76472,-22.379583
2015-09-10,7:02:35,15.764718,-22.379582
2015-09-10,7:02:36,15.764715,-22.379582
2015-09-10,7:02:37,15.76471,-22.379582
2015-09-10,7:02:38,15.764708,-22.379583
2015-09-10,7:02:39,15.764705,-22.379587
2015-09-10,7:02:40,15.764705,-22.379585
2015-09-10,7:02:41,15.764703,-22.379583
2015-09-10,7:02:42,15.764702,-22.379582
2015-09-10,7:02:43,15.764703,-22.37958
2015-09-10,7:02:44,15.764703,-22.37958
2015-09-10,7:02:45,15.764703,-22.37958
2015-09-10,7:02:46,15.764703,-22.37958
2015-09-10,7:02:47,15.764703,-22.37958
2015-09-10,7:02:48,15.764703,-22.37958
2015-09-10,7:02:49,15.764705,-22.37958
2015-09-10,7:02:50,15.764703,-22.37958
2015-09-10,7:02:51,15.764705,-22.37958
2015-09-10,7:02:52,15.764703,-22.37958
2015-09-10,7:02:53,15.764705,-22.37958
2015-09-10,7:02:54,15.764705,-22.37958
2015-09-10,7:02:55,15.764705,-22.37958
2015-09-10,7:02:56,15.764705,-22.37958
2015-09-10,7:02:57,15.764705,-22.37958
2015-09-10,7:02:58,15.764705,-22.37958
2015-09-10,7:02:59,15.764703,-22.37958
2015-09-10,7:03:00,15.764702,-22.37958
2015-09-10,7:03:01,15.7647,-22.37958
2015-09-10,7:03:02,15.764702,-22.37958
2015-09-10,7:03:03,15.764702,-22.37958
2015-09-10,7:03:04,15.764702,-22.37958
2015-09-10,7:03:05,15.7647,-22.37958
2015-09-10,7:03:06,15.764702,-22.379582
2015-09-10,7:03:07,15.764702,-22.37958
2015-09-10,7:03:08,15.764702,-22.37958
2015-09-10,7:03:09,15.764702,-22.37958
2015-09-10,7:03:10,15.764702,-22.379578
2015-09-10,7:03:11,15.764703,-22.379577
2015-09-10,7:03:12,15.764705,-22.379578
2015-09-10,7:03:13,15.764707,-22.379582
2015-09-10,7:03:14,15.764708,-22.379583
2015-09-10,7:03:15,15.764708,-22.379585
2015-09-10,7:03:16,15.764708,-22.379587
2015-09-10,7:03:17,15.76471,-22.379587
