"","date","time","lon","lat"
"1","2015-09-10","07:00:00",15.764663,-22.37956
"2","2015-09-10","07:00:01",15.764665,-22.379563
"3","2015-09-10","07:00:02",15.764665,-22.379567
"4","2015-09-10","07:00:03",15.764667,-22.379568
"5","2015-09-10","07:00:04",15.76467,-22.379572
"6","2015-09-10","07:00:05",15.764673,-22.37957
"7","2015-09-10","07:00:06",15.764672,-22.379568
"8","2015-09-10","07:00:07",15.764673,-22.379565
"9","2015-09-10","07:00:08",15.764677,-22.379567
"10","2015-09-10","07:00:09",15.764677,-22.379565
"11","2015-09-10","07:00:10",15.764677,-22.379567
"12","2015-09-10","07:00:11",15.764678,-22.379565
"13","2015-09-10","07:00:12",15.764678,-22.379565
"14","2015-09-10","07:00:13",15.764678,-22.379565
"15","2015-09-10","07:00:14",15.764678,-22.379565
"16","2015-09-10","07:00:15",15.764678,-22.379565
"17","2015-09-10","07:00:16",15.76468,-22.379565
"18","2015-09-10","07:00:17",15.76468,-22.379565
"19","2015-09-10","07:00:18",15.76468,-22.379565
"20","2015-09-10","07:00:19",15.76468,-22.379565
"21","2015-09-10","07:00:20",15.76468,-22.379565
"22","2015-09-10","07:00:21",15.76468,-22.379565
"23","2015-09-10","07:00:22",15.76468,-22.379565
"24","2015-09-10","07:00:23",15.76468,-22.379565
"25","2015-09-10","07:00:24",15.76468,-22.379565
"26","2015-09-10","07:00:25",15.76468,-22.379565
"27","2015-09-10","07:00:26",15.76468,-22.379565
"28","2015-09-10","07:00:27",15.76468,-22.379563
"29","2015-09-10","07:00:28",15.764678,-22.379563
"30","2015-09-10","07:00:29",15.764678,-22.379563
"31","2015-09-10","07:00:30",15.764678,-22.379563
"32","2015-09-10","07:00:31",15.764678,-22.379563
"33","2015-09-10","07:00:32",15.764678,-22.379563
"34","2015-09-10","07:00:33",15.764678,-22.379563
"35","2015-09-10","07:00:34",15.764678,-22.379563
"36","2015-09-10","07:00:35",15.76468,-22.379563
"37","2015-09-10","07:00:36",15.76468,-22.379563
"38","2015-09-10","07:00:37",15.76468,-22.379563
"39","2015-09-10","07:00:38",15.76468,-22.379563
"40","2015-09-10","07:00:39",15.76468,-22.379563
"41","2015-09-10","07:00:40",15.76468,-22.379563
"42","2015-09-10","07:00:41",15.76468,-22.379563
"43","2015-09-10","07:00:42",15.76468,-22.379563
"44","2015-09-10","07:00:43",15.76468,-22.379563
"45","2015-09-10","07:00:44",15.76468,-22.379563
"46","2015-09-10","07:00:45",15.76468,-22.379563
"47","2015-09-10","07:00:46",15.76468,-22.379563
"48","2015-09-10","07:00:47",15.76468,-22.379563
"49","2015-09-10","07:00:48",15.76468,-22.379563
"50","2015-09-10","07:00:49",15.76468,-22.379563
"51","2015-09-10","07:00:50",15.76468,-22.379563
"52","2015-09-10","07:00:51",15.76468,-22.379563
"53","2015-09-10","07:00:52",15.764678,-22.379563
"54","2015-09-10","07:00:53",15.764677,-22.379562
"55","2015-09-10","07:00:54",15.764677,-22.379563
"56","2015-09-10","07:00:55",15.764677,-22.379563
"57","2015-09-10","07:00:56",15.764677,-22.379563
"58","2015-09-10","07:00:57",15.764677,-22.379563
"59","2015-09-10","07:00:58",15.764678,-22.379565
"60","2015-09-10","07:00:59",15.764677,-22.379567
"61","2015-09-10","07:01:00",15.764677,-22.379565
"62","2015-09-10","07:01:01",15.764677,-22.379565
"63","2015-09-10","07:01:02",15.764677,-22.379565
"64","2015-09-10","07:01:03",15.764677,-22.379565
"65","2015-09-10","07:01:04",15.764677,-22.379565
"66","2015-09-10","07:01:05",15.764677,-22.379565
"67","2015-09-10","07:01:06",15.764677,-22.379565
"68","2015-09-10","07:01:07",15.764677,-22.379565
"69","2015-09-10","07:01:08",15.764677,-22.379565
"70","2015-09-10","07:01:09",15.764678,-22.379567
"71","2015-09-10","07:01:10",15.764682,-22.379567
"72","2015-09-10","07:01:11",15.764683,-22.379568
"73","2015-09-10","07:01:12",15.764683,-22.379568
"74","2015-09-10","07:01:13",15.764683,-22.379568
"75","2015-09-10","07:01:14",15.764683,-22.379568
"76","2015-09-10","07:01:15",15.764683,-22.379568
"77","2015-09-10","07:01:16",15.764683,-22.379568
"78","2015-09-10","07:01:17",15.764683,-22.379568
"79","2015-09-10","07:01:18",15.764683,-22.379568
"80","2015-09-10","07:01:19",15.764683,-22.379568
"81","2015-09-10","07:01:20",15.764683,-22.379568
"82","2015-09-10","07:01:21",15.764683,-22.37957
"83","2015-09-10","07:01:22",15.764683,-22.37957
"84","2015-09-10","07:01:23",15.764682,-22.379572
"85","2015-09-10","07:01:24",15.764682,-22.379572
"86","2015-09-10","07:01:25",15.764682,-22.379572
"87","2015-09-10","07:01:26",15.764682,-22.379572
"88","2015-09-10","07:01:27",15.764682,-22.379572
"89","2015-09-10","07:01:28",15.764682,-22.379572
"90","2015-09-10","07:01:29",15.764683,-22.379572
"91","2015-09-10","07:01:30",15.764683,-22.379573
"92","2015-09-10","07:01:31",15.764685,-22.379573
"93","2015-09-10","07:01:32",15.764687,-22.379573
"94","2015-09-10","07:01:33",15.764687,-22.379575
"95","2015-09-10","07:01:34",15.764687,-22.379575
"96","2015-09-10","07:01:35",15.764687,-22.379575
"97","2015-09-10","07:01:36",15.764687,-22.379577
"98","2015-09-10","07:01:37",15.764688,-22.379578
"99","2015-09-10","07:01:38",15.764688,-22.379577
"100","2015-09-10","07:01:39",15.764688,-22.379578
"101","2015-09-10","07:01:40",15.76469,-22.37958
"102","2015-09-10","07:01:41",15.764695,-22.37958
"103","2015-09-10","07:01:42",15.764698,-22.37958
"104","2015-09-10","07:01:43",15.764702,-22.379582
"105","2015-09-10","07:01:44",15.7647,-22.379582
"106","2015-09-10","07:01:45",15.7647,-22.379582
"107","2015-09-10","07:01:46",15.7647,-22.37958
"108","2015-09-10","07:01:47",15.764702,-22.37958
"109","2015-09-10","07:01:48",15.764703,-22.379582
"110","2015-09-10","07:01:49",15.764703,-22.379582
"111","2015-09-10","07:01:50",15.764703,-22.379583
"112","2015-09-10","07:01:51",15.764702,-22.379583
"113","2015-09-10","07:01:52",15.764702,-22.379583
"114","2015-09-10","07:01:53",15.764702,-22.379583
"115","2015-09-10","07:01:54",15.764702,-22.379585
"116","2015-09-10","07:01:55",15.764702,-22.379585
"117","2015-09-10","07:01:56",15.764702,-22.379585
"118","2015-09-10","07:01:57",15.7647,-22.379583
"119","2015-09-10","07:01:58",15.764698,-22.379582
"120","2015-09-10","07:01:59",15.7647,-22.37958
"121","2015-09-10","07:02:00",15.764698,-22.37958
"122","2015-09-10","07:02:01",15.764698,-22.37958
"123","2015-09-10","07:02:02",15.764695,-22.37958
"124","2015-09-10","07:02:03",15.764697,-22.37958
"125","2015-09-10","07:02:04",15.764695,-22.37958
"126","2015-09-10","07:02:05",15.764695,-22.37958
"127","2015-09-10","07:02:06",15.764693,-22.37958
"128","2015-09-10","07:02:07",15.764693,-22.379578
"129","2015-09-10","07:02:08",15.764693,-22.379578
"130","2015-09-10","07:02:09",15.764693,-22.379578
"131","2015-09-10","07:02:10",15.764693,-22.379578
"132","2015-09-10","07:02:11",15.764693,-22.379578
"133","2015-09-10","07:02:12",15.764692,-22.37958
"134","2015-09-10","07:02:13",15.76469,-22.379582
"135","2015-09-10","07:02:14",15.764688,-22.379583
"136","2015-09-10","07:02:15",15.764687,-22.379585
"137","2015-09-10","07:02:16",15.764687,-22.379583
"138","2015-09-10","07:02:17",15.764687,-22.379583
"139","2015-09-10","07:02:18",15.764687,-22.379583
"140","2015-09-10","07:02:19",15.764687,-22.379583
"141","2015-09-10","07:02:20",15.764687,-22.379583
"142","2015-09-10","07:02:21",15.764687,-22.379583
"143","2015-09-10","07:02:22",15.764687,-22.379583
"144","2015-09-10","07:02:23",15.764687,-22.379583
"145","2015-09-10","07:02:24",15.764685,-22.379583
"146","2015-09-10","07:02:25",15.764683,-22.379583
"147","2015-09-10","07:02:26",15.764683,-22.379582
"148","2015-09-10","07:02:27",15.76468,-22.379582
"149","2015-09-10","07:02:28",15.76468,-22.379582
"150","2015-09-10","07:02:29",15.764677,-22.37958
"151","2015-09-10","07:02:30",15.764675,-22.37958
"152","2015-09-10","07:02:31",15.764673,-22.379578
"153","2015-09-10","07:02:32",15.764672,-22.379578
"154","2015-09-10","07:02:33",15.76467,-22.379578
"155","2015-09-10","07:02:34",15.764668,-22.379577
"156","2015-09-10","07:02:35",15.76467,-22.379575
"157","2015-09-10","07:02:36",15.764668,-22.379577
"158","2015-09-10","07:02:37",15.764667,-22.379575
"159","2015-09-10","07:02:38",15.764668,-22.379575
"160","2015-09-10","07:02:39",15.764667,-22.379577
"161","2015-09-10","07:02:40",15.764667,-22.379577
"162","2015-09-10","07:02:41",15.764667,-22.379575
"163","2015-09-10","07:02:42",15.764665,-22.379575
"164","2015-09-10","07:02:43",15.764665,-22.379573
"165","2015-09-10","07:02:44",15.764663,-22.379573
"166","2015-09-10","07:02:45",15.764663,-22.379573
"167","2015-09-10","07:02:46",15.764663,-22.379573
"168","2015-09-10","07:02:47",15.764663,-22.379573
"169","2015-09-10","07:02:48",15.764663,-22.379573
"170","2015-09-10","07:02:49",15.764663,-22.379573
"171","2015-09-10","07:02:50",15.764663,-22.379573
"172","2015-09-10","07:02:51",15.764663,-22.379573
"173","2015-09-10","07:02:52",15.764663,-22.379573
"174","2015-09-10","07:02:53",15.764663,-22.379573
"175","2015-09-10","07:02:54",15.764663,-22.379573
"176","2015-09-10","07:02:55",15.764663,-22.379572
"177","2015-09-10","07:02:56",15.764665,-22.37957
"178","2015-09-10","07:02:57",15.764663,-22.379572
"179","2015-09-10","07:02:58",15.764663,-22.37957
"180","2015-09-10","07:02:59",15.764663,-22.379572
"181","2015-09-10","07:03:00",15.764663,-22.379572
"182","2015-09-10","07:03:01",15.764663,-22.379572
"183","2015-09-10","07:03:02",15.764663,-22.379572
"184","2015-09-10","07:03:03",15.764663,-22.379572
"185","2015-09-10","07:03:04",15.764663,-22.379572
"186","2015-09-10","07:03:05",15.764663,-22.379572
"187","2015-09-10","07:03:06",15.764663,-22.379573
"188","2015-09-10","07:03:07",15.764663,-22.379573
"189","2015-09-10","07:03:08",15.764662,-22.379573
"190","2015-09-10","07:03:09",15.764662,-22.379572
"191","2015-09-10","07:03:10",15.764662,-22.379572
"192","2015-09-10","07:03:11",15.764663,-22.37957
