"date","time","lon","lat"
"2015-09-10","07:01:51",15.76468,-22.379557
"2015-09-10","07:01:52",15.764678,-22.379558
"2015-09-10","07:01:53",15.76468,-22.379558
"2015-09-10","07:01:54",15.764682,-22.37956
"2015-09-10","07:01:55",15.764682,-22.379557
"2015-09-10","07:01:56",15.76468,-22.379558
"2015-09-10","07:01:57",15.76468,-22.379558
"2015-09-10","07:01:58",15.76468,-22.379557
"2015-09-10","07:01:59",15.76468,-22.379557
"2015-09-10","07:02:00",15.76468,-22.379557
"2015-09-10","07:02:01",15.76468,-22.379555
"2015-09-10","07:02:02",15.76468,-22.379553
"2015-09-10","07:02:03",15.764683,-22.379552
"2015-09-10","07:02:04",15.764685,-22.379552
"2015-09-10","07:02:05",15.764683,-22.379555
"2015-09-10","07:02:06",15.764683,-22.379557
"2015-09-10","07:02:07",15.764685,-22.379555
"2015-09-10","07:02:08",15.764682,-22.379557
"2015-09-10","07:02:09",15.764678,-22.37956
"2015-09-10","07:02:10",15.764677,-22.379563
"2015-09-10","07:02:11",15.764675,-22.379565
"2015-09-10","07:02:12",15.764677,-22.379563
"2015-09-10","07:02:13",15.764675,-22.379563
"2015-09-10","07:02:14",15.764673,-22.379563
"2015-09-10","07:02:15",15.764672,-22.379563
"2015-09-10","07:02:16",15.76467,-22.379563
"2015-09-10","07:02:17",15.76467,-22.379563
"2015-09-10","07:02:18",15.764672,-22.379563
"2015-09-10","07:02:19",15.764673,-22.379563
"2015-09-10","07:02:20",15.764677,-22.379562
"2015-09-10","07:02:21",15.76468,-22.379562
"2015-09-10","07:02:22",15.764682,-22.379563
"2015-09-10","07:02:23",15.764683,-22.379565
"2015-09-10","07:02:24",15.764683,-22.379567
"2015-09-10","07:02:25",15.764685,-22.379567
"2015-09-10","07:02:26",15.764685,-22.379565
"2015-09-10","07:02:27",15.764683,-22.379563
"2015-09-10","07:02:28",15.764682,-22.379565
"2015-09-10","07:02:29",15.764683,-22.379565
"2015-09-10","07:02:30",15.764683,-22.379565
"2015-09-10","07:02:31",15.764683,-22.379567
"2015-09-10","07:02:32",15.764683,-22.379565
"2015-09-10","07:02:33",15.764682,-22.379563
"2015-09-10","07:02:34",15.76468,-22.379565
"2015-09-10","07:02:35",15.764682,-22.379567
"2015-09-10","07:02:36",15.76468,-22.37957
"2015-09-10","07:02:37",15.764685,-22.379568
"2015-09-10","07:02:38",15.764685,-22.379567
"2015-09-10","07:02:39",15.764683,-22.379568
"2015-09-10","07:02:40",15.764678,-22.37957
"2015-09-10","07:02:41",15.764682,-22.379568
"2015-09-10","07:02:42",15.76468,-22.379572
"2015-09-10","07:02:43",15.76468,-22.379577
"2015-09-10","07:02:44",15.764678,-22.37958
"2015-09-10","07:02:45",15.764677,-22.379583
"2015-09-10","07:02:46",15.76468,-22.379583
"2015-09-10","07:02:47",15.76468,-22.379585
"2015-09-10","07:02:48",15.764685,-22.379585
"2015-09-10","07:02:49",15.764688,-22.379582
"2015-09-10","07:02:50",15.764693,-22.37958
"2015-09-10","07:02:51",15.764695,-22.379582
"2015-09-10","07:02:52",15.764693,-22.379585
"2015-09-10","07:02:53",15.764692,-22.379587
"2015-09-10","07:02:54",15.76469,-22.379588
"2015-09-10","07:02:55",15.76469,-22.37959
"2015-09-10","07:02:56",15.764687,-22.379592
"2015-09-10","07:02:57",15.764685,-22.379597
"2015-09-10","07:02:58",15.764687,-22.3796
"2015-09-10","07:02:59",15.764687,-22.379605
"2015-09-10","07:03:00",15.764688,-22.379607
"2015-09-10","07:03:01",15.764693,-22.379607
"2015-09-10","07:03:02",15.764698,-22.379605
"2015-09-10","07:03:03",15.764705,-22.379598
"2015-09-10","07:03:04",15.76471,-22.379593
"2015-09-10","07:03:05",15.764715,-22.379588
"2015-09-10","07:03:06",15.764717,-22.379588
"2015-09-10","07:03:07",15.764715,-22.37959
"2015-09-10","07:03:08",15.764715,-22.379593
"2015-09-10","07:03:09",15.764712,-22.379595
"2015-09-10","07:03:10",15.764713,-22.379597
"2015-09-10","07:03:11",15.764713,-22.379597
"2015-09-10","07:03:12",15.764712,-22.379598
"2015-09-10","07:03:13",15.764707,-22.379598
"2015-09-10","07:03:14",15.764708,-22.379595
"2015-09-10","07:03:15",15.764705,-22.379593
"2015-09-10","07:03:16",15.764707,-22.379592
"2015-09-10","07:03:17",15.764708,-22.379592
"2015-09-10","07:03:18",15.764705,-22.379595
"2015-09-10","07:03:19",15.764707,-22.379593
"2015-09-10","07:03:20",15.764705,-22.379593
"2015-09-10","07:03:21",15.764703,-22.379593
"2015-09-10","07:03:22",15.764702,-22.379595
"2015-09-10","07:03:23",15.764697,-22.379595
"2015-09-10","07:03:24",15.764693,-22.379593
"2015-09-10","07:03:25",15.764692,-22.379592
"2015-09-10","07:03:26",15.764688,-22.379595
"2015-09-10","07:03:27",15.764683,-22.379595
"2015-09-10","07:03:28",15.764683,-22.379593
"2015-09-10","07:03:29",15.76468,-22.379592
"2015-09-10","07:03:30",15.76468,-22.379587
"2015-09-10","07:03:31",15.764678,-22.379585
"2015-09-10","07:03:32",15.764677,-22.379585
"2015-09-10","07:03:33",15.764677,-22.379583
"2015-09-10","07:03:34",15.764677,-22.379583
"2015-09-10","07:03:35",15.764675,-22.379583
"2015-09-10","07:03:36",15.764675,-22.379582
"2015-09-10","07:03:37",15.764677,-22.379582
"2015-09-10","07:03:38",15.764677,-22.379583
"2015-09-10","07:03:39",15.764677,-22.379583
"2015-09-10","07:03:40",15.764675,-22.379585
"2015-09-10","07:03:41",15.764673,-22.379587
"2015-09-10","07:03:42",15.764675,-22.379585
"2015-09-10","07:03:43",15.764677,-22.379585
"2015-09-10","07:03:44",15.764678,-22.379585
"2015-09-10","07:03:45",15.764677,-22.379585
"2015-09-10","07:03:46",15.764677,-22.379585
"2015-09-10","07:03:47",15.764677,-22.379585
"2015-09-10","07:03:48",15.764677,-22.379585
"2015-09-10","07:03:49",15.764677,-22.379585
"2015-09-10","07:03:50",15.764677,-22.379585
"2015-09-10","07:03:51",15.764677,-22.379585
"2015-09-10","07:03:52",15.764677,-22.379585
"2015-09-10","07:03:53",15.764677,-22.379585
"2015-09-10","07:03:54",15.764677,-22.379585
